timestamp,gender,benefits,location,work_arrangement,employee_count ,position,level,experience,lang_tool,salary_currency,salary
1/31/2023 21:29:45,male,Meal card,Turkey,Office,1-50,Backend Developer / Engineer,Junior,1-3 Years,"C# / .NET Framework, SQL",TRY,20.001 - 25.000
1/31/2023 21:30:50,male,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",Turkey,Remote,601-1.000,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,37.001 - 45.000
1/31/2023 21:32:06,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Supplementary health insurance",Turkey,Office,151-300,Backend Developer / Engineer,Junior,1-3 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,20.001 - 25.000
1/31/2023 21:32:13,male,"Meal card, Road/fuel assistance, Company telephone, Supplementary health insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Senior,5-9 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc)",TRY,45.001 - 55.000
1/31/2023 21:32:55,male,,Turkey,Remote,1-50,Backend Developer / Engineer,Junior,0-1 Years,"Javascript / Typescript and  related frameworks, PHP",TRY,8.507 - 10.000
1/31/2023 21:33:08,male,"Meal card, Gift vouchers on special occasions",Turkey,Hybrid,51-150,Backend Developer / Engineer,Junior,0-1 Years,"C# / .NET Framework, Golang, SQL",TRY,10.001 - 15.000
1/31/2023 21:33:14,male,Supplementary health insurance,Turkey,Remote,1-50,Backend Developer / Engineer,Mid,1-3 Years,PHP,TRY,8.507 - 10.000
1/31/2023 21:33:56,male,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance, Unemployment insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Mid,3-5 Years,Java and related frameworks,TRY,45.001 - 55.000
1/31/2023 21:34:23,male,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",Abroad,Remote,1-50,Backend Developer / Engineer,Junior,1-3 Years,Python / R,TRY,18.001 - 20.000
1/31/2023 21:35:14,male,"Meal card, Supplementary health insurance",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Senior,3-5 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,55.001 - 70.000
1/31/2023 21:35:16,male,"Meal card, Gift vouchers on special occasions, Education funds, Leaandon certain days",Turkey,Remote,601-1.000,Backend Developer / Engineer,Junior,0-1 Years,Java and related frameworks,TRY,10.001 - 15.000
1/31/2023 21:36:14,male,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",Turkey,Hybrid,51-150,Backend Developer / Engineer,Mid,5-9 Years,C# / .NET Framework,TRY,30.001 - 37.000
1/31/2023 21:37:22,male,"Meal card, Gym membership/discount, Supplementary health insurance",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Junior,0-1 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools, No-code / Low-code tools, Docker / containerd / Hyper-V / LXC / Podman",USD,10.001 - 15.000
1/31/2023 21:37:56,male,"Meal card, Road/fuel assistance",Turkey,Hybrid,1-50,Backend Developer / Engineer,Senior,9-12 Years,"Javascript / Typescript and  related frameworks, PHP, Cloud tools ( AWS, Azure, GCP etc), MS Office",TRY,15.001 - 18.000
1/31/2023 21:37:59,male,"Meal card, Road/fuel assistance, Supplementary health insurance, Leaandon certain days",Turkey,Hybrid,51-150,Backend Developer / Engineer,Senior,5-9 Years,"Java and related frameworks, Javascript / Typescript and  related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,37.001 - 45.000
